epoch, epoch_psnr_avg, epoch_losses_avg 
652, 32.3903, 0.023535
653, 32.3622, 0.023476
654, 32.3952, 0.023184
655, 32.3895, 0.023247
656, 32.3693, 0.023579
657, 32.3761, 0.023479
658, 32.3689, 0.023467
659, 32.3447, 0.023429
660, 32.3980, 0.023684
661, 32.3664, 0.023336
662, 32.3665, 0.023628
663, 32.3885, 0.023842
664, 32.3906, 0.023582
665, 32.3930, 0.023198
666, 32.3741, 0.023373
667, 32.3813, 0.023301
668, 32.3774, 0.023284
669, 32.3669, 0.023371
670, 32.3842, 0.023575
671, 32.3803, 0.023550
672, 32.3795, 0.023636
673, 32.3672, 0.023503
674, 32.3734, 0.023383
675, 32.3763, 0.023395
676, 32.3808, 0.023554
677, 32.3754, 0.023563
678, 32.3791, 0.023541
679, 32.3704, 0.023825
680, 32.3667, 0.023677
681, 32.3622, 0.023444
682, 32.3791, 0.023461
683, 32.3857, 0.023477
684, 32.3666, 0.023103
685, 32.3944, 0.023627
686, 32.3963, 0.023367
687, 32.3753, 0.023696
688, 32.3759, 0.023325
689, 32.3851, 0.023483
690, 32.3849, 0.023543
691, 32.3801, 0.023257
692, 32.3632, 0.023449
693, 32.3601, 0.023436
694, 32.3569, 0.023872
695, 32.3780, 0.023741
696, 32.3880, 0.023573
697, 32.3987, 0.023472
698, 32.3670, 0.023438
699, 32.3817, 0.023255
700, 32.3393, 0.023339
701, 32.3932, 0.023280
702, 32.3829, 0.023129
703, 32.3825, 0.023457
704, 32.4020, 0.023609
705, 32.3907, 0.023527
706, 32.3882, 0.023226
707, 32.3794, 0.023657
708, 32.3697, 0.023523
709, 32.3733, 0.023658
710, 32.3792, 0.023259
711, 32.3959, 0.023184
712, 32.3529, 0.023714
713, 32.3579, 0.023338
714, 32.3657, 0.023315
715, 32.3820, 0.023231
716, 32.3953, 0.023161
717, 32.4061, 0.023633
718, 32.3894, 0.023327
719, 32.3686, 0.023164
720, 32.3651, 0.023471
721, 32.3537, 0.023445
722, 32.3832, 0.023361
723, 32.3894, 0.023171
724, 32.3905, 0.023478
725, 32.3931, 0.023381
726, 32.3831, 0.023330
727, 32.3886, 0.023212
728, 32.3989, 0.023239
729, 32.3844, 0.023774
730, 32.3825, 0.023411
731, 32.3866, 0.023263
732, 32.4062, 0.023520
733, 32.3638, 0.023025
734, 32.3850, 0.023726
735, 32.3772, 0.023652
736, 32.3856, 0.023222
737, 32.3727, 0.023258
738, 32.3851, 0.023808
739, 32.3688, 0.023042
740, 32.3846, 0.023526
741, 32.3926, 0.023421
742, 32.3949, 0.023389
743, 32.3977, 0.023398
744, 32.3917, 0.023713
745, 32.3790, 0.023331
746, 32.3477, 0.023284
747, 32.3823, 0.023682
748, 32.3771, 0.023419
749, 32.3782, 0.023243
750, 32.3889, 0.023689
751, 32.3715, 0.023267
752, 32.3665, 0.023184
753, 32.3871, 0.023295
754, 32.3812, 0.023373
755, 32.3755, 0.023306
756, 32.3911, 0.023203
757, 32.3619, 0.023055
758, 32.3664, 0.023180
759, 32.3687, 0.023303
760, 32.3889, 0.023424
761, 32.3965, 0.023381
762, 32.3647, 0.023269
763, 32.3866, 0.023971
764, 32.3835, 0.023682
765, 32.4108, 0.023473
766, 32.3575, 0.023233
767, 32.3654, 0.023674
768, 32.3424, 0.023820
769, 32.3627, 0.023883
770, 32.3749, 0.023320
771, 32.3858, 0.023296
772, 32.3740, 0.022915
773, 32.3757, 0.023410
774, 32.3691, 0.023560
775, 32.3842, 0.022979
776, 32.3765, 0.023382
777, 32.3785, 0.023037
778, 32.3778, 0.023468
779, 32.4055, 0.023169
780, 32.3963, 0.023250
781, 32.3778, 0.023556
782, 32.4058, 0.023640
783, 32.3854, 0.023399
784, 32.3965, 0.023227
785, 32.3625, 0.023434
786, 32.3861, 0.023333
787, 32.3859, 0.023449
788, 32.3942, 0.023246
789, 32.3863, 0.023085
790, 32.3880, 0.023111
791, 32.3986, 0.023497
792, 32.3694, 0.023330
793, 32.3810, 0.023287
794, 32.4007, 0.023593
795, 32.3885, 0.023049
796, 32.3660, 0.023454
797, 32.3963, 0.023742
798, 32.3941, 0.023037
799, 32.3987, 0.023570
800, 32.4094, 0.023235
